id_family,Family
1100,Calyptocephalellidae
1101,Dendrobatidae
1102,Dendrobatidae
1103,Dendrobatidae
1104,Dendrobatidae
1105,Dendrobatidae
1106,Dendrobatidae
1107,Dendrobatidae
1108,Dendrobatidae
1109,Dendrobatidae
1110,Dendrobatidae
1111,Dendrobatidae
1112,Dendrobatidae
1113,Dendrobatidae
1114,Dendrobatidae
1115,Dendrobatidae
1116,Dendrobatidae
1117,Dendrobatidae
1118,Dendrobatidae
1119,Dendrobatidae
1120,Dendrobatidae
1121,Dendrobatidae
1122,Dendrobatidae
1123,Dendrobatidae
1124,Dendrobatidae
1125,Dendrobatidae
1126,Dendrobatidae
1127,Dendrobatidae
1128,Dendrobatidae
1129,Dendrobatidae
1130,Dendrobatidae
1131,Dendrobatidae
1132,Dendrobatidae
1133,Dendrobatidae
1134,Dendrobatidae
1135,Dendrobatidae
1136,Dendrobatidae
1137,Dendrobatidae
1138,Dendrobatidae
1139,Dendrobatidae
1140,Dendrobatidae
1141,Dendrobatidae
1142,Dendrobatidae
1143,Dendrobatidae
1144,Dendrobatidae
1145,Dendrobatidae
1146,Dendrobatidae
1147,Dendrobatidae
1148,Dendrobatidae
1149,Dendrobatidae
1150,Dendrobatidae
1151,Dendrobatidae
1152,Dendrobatidae
1153,Dendrobatidae
1154,Dendrobatidae
1155,Dendrobatidae
1156,Dendrobatidae
1157,Dendrobatidae
1158,Dendrobatidae
1159,Dendrobatidae
1160,Dendrobatidae
1161,Dendrobatidae
1162,Dendrobatidae
1163,Dendrobatidae
1164,Dendrobatidae
1165,Dendrobatidae
1166,Dendrobatidae
1167,Dendrobatidae
1168,Dendrobatidae
1169,Dendrobatidae
1170,Dendrobatidae
1171,Dendrobatidae
1172,Dendrobatidae
1173,Dendrobatidae
1174,Dendrobatidae
1175,Dendrobatidae
1176,Dendrobatidae
1177,Dendrobatidae
1178,Dendrobatidae
1179,Dendrobatidae
1180,Dendrobatidae
1181,Dendrobatidae
1182,Dendrobatidae
1183,Dendrobatidae
1184,Dendrobatidae
1185,Dendrobatidae
1186,Dendrobatidae
1187,Dendrobatidae
1188,Dendrobatidae
1189,Dendrobatidae
1190,Dendrobatidae
1191,Dendrobatidae
1192,Hylidae
1193,Hylidae
1194,Hylidae
1195,Hylidae
1196,Hylidae
1197,Telmatobiidae
1198,Carcharhinidae
1199,Carcharhinidae
1200,Sphyrnidae
1201,Sphyrnidae
1202,Sphyrnidae
1203,Cetorhinidae
1204,Lamnidae
1205,Lamnidae
1206,Myliobatidae
1207,Potamotrygonidae
1208,Potamotrygonidae
1209,Potamotrygonidae
1210,Potamotrygonidae
1211,Potamotrygonidae
1212,Potamotrygonidae
1213,Potamotrygonidae
1214,Potamotrygonidae
1215,Potamotrygonidae
1216,Potamotrygonidae
1217,Potamotrygonidae
1218,Potamotrygonidae
1219,Potamotrygonidae
1220,Potamotrygonidae
1221,Potamotrygonidae
1222,Potamotrygonidae
1223,Potamotrygonidae
1224,Potamotrygonidae
1225,Potamotrygonidae
1226,Potamotrygonidae
1227,Rhincodontidae
1228,Pristidae
1229,Pristidae
1230,Pristidae
1231,Stichopodidae
1232,Theraphosidae
1233,Theraphosidae
1234,Theraphosidae
1235,Theraphosidae
