id_order,Order
1154,Anura
1155,Anura
1156,Anura
1157,Anura
1158,Anura
1159,Anura
1160,Anura
1161,Anura
1162,Anura
1163,Anura
1164,Anura
1165,Anura
1166,Anura
1167,Anura
1168,Anura
1169,Anura
1170,Anura
1171,Anura
1172,Anura
1173,Anura
1174,Anura
1175,Anura
1176,Anura
1177,Anura
1178,Anura
1179,Anura
1180,Anura
1181,Anura
1182,Anura
1183,Anura
1184,Anura
1185,Anura
1186,Anura
1187,Anura
1188,Anura
1189,Anura
1190,Anura
1191,Anura
1192,Anura
1193,Anura
1194,Anura
1195,Anura
1196,Anura
1197,Anura
1198,Carcharhiniformes
1199,Carcharhiniformes
1200,Carcharhiniformes
1201,Carcharhiniformes
1202,Carcharhiniformes
1203,Lamniformes
1204,Lamniformes
1205,Lamniformes
1206,Myliobatiformes
1207,Myliobatiformes
1208,Myliobatiformes
1209,Myliobatiformes
1210,Myliobatiformes
1211,Myliobatiformes
1212,Myliobatiformes
1213,Myliobatiformes
1214,Myliobatiformes
1215,Myliobatiformes
1216,Myliobatiformes
1217,Myliobatiformes
1218,Myliobatiformes
1219,Myliobatiformes
1220,Myliobatiformes
1221,Myliobatiformes
1222,Myliobatiformes
1223,Myliobatiformes
1224,Myliobatiformes
1225,Myliobatiformes
1226,Myliobatiformes
1227,Orectolobiformes
1228,Pristiformes
1229,Pristiformes
1230,Pristiformes
1231,Aspidochirotida
1232,Araneae
1233,Araneae
1234,Araneae
1235,Araneae
1236,Araneae
1237,Araneae
1238,Coleoptera
1239,Lepidoptera
1240,Lepidoptera
1241,Lepidoptera
1242,Lepidoptera
1243,Unionoida
1244,Mesogastropoda
1245,Stylommatophora
1246,Stylommatophora
1247,Stylommatophora
1248,Stylommatophora
1249,Stylommatophora
1250,Stylommatophora
1251,Antipatharia
1252,Antipatharia
1253,Antipatharia
1254,Antipatharia
1255,Antipatharia
1256,Antipatharia
1257,Antipatharia
1258,Antipatharia
1259,Antipatharia
1260,Antipatharia
1261,Antipatharia
1262,Antipatharia
1263,Antipatharia
1264,Antipatharia
1265,Antipatharia
1266,Antipatharia
1267,Antipatharia
1268,Antipatharia
1269,Antipatharia
1270,Antipatharia
1271,Antipatharia
1272,Antipatharia
1273,Antipatharia
1274,Antipatharia
1275,Antipatharia
1276,Antipatharia
1277,Antipatharia
1278,Antipatharia
1279,Antipatharia
1280,Antipatharia
1281,Antipatharia
1282,Antipatharia
1283,Antipatharia
1284,Antipatharia
1285,Antipatharia
1286,Antipatharia
1287,Antipatharia
1288,Antipatharia
1289,Antipatharia
1290,Antipatharia
1291,Antipatharia
1292,Antipatharia
1293,Antipatharia
1294,Antipatharia
1295,Antipatharia
1296,Antipatharia
1297,Antipatharia
1298,Antipatharia
1299,Antipatharia
1300,Antipatharia
1301,Antipatharia
1302,Antipatharia
1303,Antipatharia
1304,Antipatharia
1305,Antipatharia
1306,Scleractinia
1307,Scleractinia
1308,Scleractinia
1309,Scleractinia
1310,Scleractinia
1311,Scleractinia
1312,Scleractinia
1313,Scleractinia
1314,Scleractinia
1315,Scleractinia
1316,Scleractinia
1317,Scleractinia
1318,Scleractinia
1319,Scleractinia
1320,Scleractinia
1321,Scleractinia
1322,Scleractinia
1323,Scleractinia
1324,Scleractinia
1325,Scleractinia
1326,Scleractinia
1327,Scleractinia
1328,Scleractinia
1329,Scleractinia
1330,Scleractinia
1331,Scleractinia
1332,Scleractinia
1333,Scleractinia
1334,Scleractinia
1335,Scleractinia
1336,Scleractinia
1337,Scleractinia
1338,Scleractinia
1339,Scleractinia
1340,Scleractinia
1341,Scleractinia
1342,Scleractinia
1343,Scleractinia
1344,Scleractinia
1345,Scleractinia
1346,Scleractinia
1347,Scleractinia
1348,Scleractinia
1349,Scleractinia
1350,Scleractinia
1351,Scleractinia
1352,Scleractinia
1353,Scleractinia
1354,Scleractinia
1355,Scleractinia
1356,Scleractinia
1357,Scleractinia
1358,Scleractinia
1359,Scleractinia
1360,Scleractinia
1361,Scleractinia
1362,Scleractinia
1363,Scleractinia
1364,Scleractinia
1365,Scleractinia
1366,Scleractinia
1367,Scleractinia
1368,Scleractinia
1369,Scleractinia
1370,Scleractinia
1371,Scleractinia
1372,Scleractinia
1373,Scleractinia
1374,Scleractinia
1375,Scleractinia
1376,Scleractinia
1377,Scleractinia
1378,Scleractinia
1379,Scleractinia
1380,Scleractinia
1381,Scleractinia
1382,Scleractinia
1383,Scleractinia
1384,Scleractinia
1385,Scleractinia
1386,Scleractinia
1387,Scleractinia
1388,Scleractinia
1389,Scleractinia
1390,Scleractinia
1391,Scleractinia
1392,Scleractinia
1393,Scleractinia
1394,Scleractinia
1395,Scleractinia
1396,Scleractinia
1397,Scleractinia
1398,Scleractinia
1399,Scleractinia
1400,Scleractinia
1401,Scleractinia
1402,Scleractinia
1403,Scleractinia
1404,Scleractinia
1405,Scleractinia
1406,Scleractinia
1407,Scleractinia
1408,Scleractinia
1409,Scleractinia
1410,Scleractinia
1411,Scleractinia
1412,Scleractinia
1413,Scleractinia
1414,Scleractinia
1415,Scleractinia
1416,Scleractinia
1417,Scleractinia
1418,Scleractinia
1419,Scleractinia
1420,Scleractinia
1421,Scleractinia
1422,Scleractinia
1423,Scleractinia
1424,Scleractinia
1425,Scleractinia
1426,Scleractinia
1427,Scleractinia
1428,Scleractinia
1429,Scleractinia
1430,Scleractinia
1431,Scleractinia
1432,Scleractinia
1433,Scleractinia
1434,Scleractinia
1435,Scleractinia
1436,Scleractinia
1437,Scleractinia
1438,Scleractinia
1439,Scleractinia
1440,Scleractinia
1441,Scleractinia
